# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
27 -0.020554931179224915 -0.22536597613941187 0.014743991129151592 0.9739457306896164 0.5841384425853755 -0.03461765101967457 0.4013739454296665 1 20251010T194128_642_852f93186f2c.png

28 -0.1358084087631723 -0.16664575510685245 -0.012012675651210745 0.9765454234380401 0.6006145532201002 0.15890696616598035 0.3199786646688258 1 20251010T194214_375_4c818a931bd0.png

29 -0.13586686679133858 -0.16665718545418903 -0.012050624829344684 0.976534873666074 0.6371654421150601 0.16667283088835816 0.29004307668814955 1 20251010T194237_275_4f1d6c9d4b20.png

30 -0.1440945771110945 -0.15958230086906885 -0.061131288707456204 0.9746964694906176 0.6627874630599655 0.17037333146787 0.2961765334741424 1 20251010T194308_290_a5ea86e95613.png

31 -0.2374117719794276 -0.16514347010020483 -0.14169006865499734 0.9467244632169348 0.6356182810941391 0.24719975192978066 0.3227523066535442 1 20251010T194344_592_ad6f74249ae9.png

