# 3D point list with one line of data per point:
# POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 879, mean track length: 2.0534698521046644
219 0.8327323617175127 0.10360254253947149 -0.3806534163420649 190 186 187 0.21747572476254232 2 660 5 1206 27 256
220 1.0944423723223313 0.13481507929912445 -0.3847740354631398 137 138 135 0.0007771536774548066 2 663 5 1175
221 1.0815749732169426 0.11935975083149925 -0.3835606205425659 153 156 154 0.031216393061195266 2 714 5 1245
222 1.0815749732169426 0.11935975083149925 -0.3835606205425659 153 156 154 0.031216393061195266 2 715 5 1246
223 1.0837706438567172 0.11341172612677553 -0.3804389154576837 110 109 109 0.016517534050887784 2 745 5 1282
224 1.078715927756885 0.1114963421416228 -0.3827471800324896 107 107 109 0.01226492666406017 2 760 5 1287
225 1.0779665560071312 0.10467772702453307 -0.38801200335032693 125 124 126 0.01835844534194111 2 804 5 1331
226 1.084545876222834 0.1029344216957042 -0.38720443475392685 153 158 158 0.0034037564408513463 2 812 5 1340
227 1.0840707862219936 0.1011541195420559 -0.3833488792261158 95 97 103 0.0026299183679371952 2 822 5 1346
228 1.0958851752693544 0.10016755942865743 -0.3842480958890216 133 139 137 0.014750874896716023 2 832 5 1352
229 1.0958851752693544 0.10016755942865743 -0.3842480958890216 133 139 137 0.014750874896716023 2 833 5 1353
230 0.9468605595409529 0.08658387567250546 -0.37978575500537687 191 199 196 0.0057558032194897114 2 834 5 1376
231 1.0929123182566032 0.09277285916211848 -0.38775805197506724 143 149 147 0.00770379653782411 2 877 5 1402
232 1.097255285956791 0.08789346934617169 -0.3840904180491027 72 72 76 0.015125356317273539 2 902 5 1432
233 1.097255285956791 0.08789346934617169 -0.3840904180491027 72 72 76 0.015125356317273539 2 903 5 1433
234 1.0987617316715999 0.08614494163175464 -0.38827606462927233 105 108 109 0.002476584277214675 2 933 5 1446
235 1.0803843029753046 0.07944534530634415 -0.38360353862619156 109 110 112 0.020898716509155646 2 962 5 1488
236 1.0851649486095232 0.07965486083091443 -0.3835974694221187 81 84 85 0.03108705891421205 2 963 5 1487
237 1.0831807330676153 0.07575250527900358 -0.38141970339991516 115 115 116 0.012568165956272994 2 977 5 1507
238 1.076124661473581 0.07356503570375214 -0.3784180641904438 93 94 98 0.003108295747102372 2 990 5 1522
239 1.076124661473581 0.07356503570375214 -0.3784180641904438 93 94 98 0.003108295747102372 2 991 5 1523
240 1.078947542866502 0.07283466161771562 -0.3820861210202812 131 132 135 0.016048958695113878 2 999 5 1534
241 1.0789186697488586 0.05508224588769894 -0.37842855849911994 148 154 154 0.035367187646072905 2 1100 5 1649
242 1.0758625524241843 0.054236401581175805 -0.3844477351749437 101 103 104 0.017357031834450243 2 1109 5 1653
243 1.096491113167212 0.052859257601955416 -0.3887378392515642 141 147 147 0.013035149277150814 2 1124 5 1664
244 0.9636737420391054 0.04481451321263106 -0.37615718689046246 31 37 37 0.3139402480692064 2 1141 5 1711 31 1239
245 1.0962566764813184 0.049621994402102285 -0.38254229246905325 93 92 96 0.011143167978132987 2 1147 5 1689
246 1.0799643144103408 0.04060362948603193 -0.38698287439631224 160 168 172 0.023799094744930093 2 1190 5 1738
247 1.0863708265656329 0.03895054154222359 -0.38335300733164085 93 97 99 0.019303969585920448 2 1200 5 1744
248 1.0863708265656329 0.03895054154222359 -0.38335300733164085 93 97 99 0.019303969585920448 2 1201 5 1745
